"Source","Count"
"Al Jazeera English",1
"Ambcrypto.com",1
"BBC News",2
"Biztoc.com",10
"Breitbart News",1
"Business Insider",1
"Business Standard",1
"CNA",2
"CNBC",1
"CNN",1
"Crooksandliars.com",1
"CryptoSlate",1
"Daily Beast",1
"Deadline",2
"Digital Journal",1
"DW (English)",2
"EURACTIV",1
"Fark.com",1
"Feber.se",1
"Finextra",1
"Forbes",2
"Fortune",3
"Futurism",1
"Gadgets360.com",2
"Gizmodo.com",1
"Hollywood Reporter",1
"Hot Hardware",1
"HuffPost",2
"Hurriyet Daily News",1
"Ibtimes.com.au",1
"International Business Times",1
"Jalopnik",2
"Legalinsurrection.com",1
"Monbiot.com",2
"Music Ally",1
"NPR",1
"Order-order.com",1
"PCMag.com",2
"PhoneArena",1
"POLITICO.eu",2
"Researchbuzz.me",1
"Rolling Stone",1
"ScienceAlert",1
"Sky.com",1
"Slashdot.org",4
"Snopes.com",1
"Steynonline.com",1
"TechCrunch",1
"TechNode",1
"TechSpot",1
"Techtarget.com",1
"Terra.com.br",1
"The Drum",2
"The Irish Times",1
"The Times of India",1
"Thegatewaypundit.com",2
"Wccftech",1
"Windows Central",1
"Wired",1
"Yahoo Entertainment",5
